time,context,mean_forecast,quantile_0.1,quantile_0.2,quantile_0.3,quantile_0.4,quantile_0.5,quantile_0.6,quantile_0.7,quantile_0.8,quantile_0.9
712,736.0,,,,,,,,,,
713,865.0,,,,,,,,,,
714,757.0,,,,,,,,,,
715,788.0,,,,,,,,,,
716,457.0,,,,,,,,,,
717,,,,,,,,,,,
718,,,,,,,,,,,
719,,,,,,,,,,,
720,,,,,,,,,,,
721,,,,,,,,,,,
722,,,,,,,,,,,
723,,,,,,,,,,,
724,,,,,,,,,,,
725,,,,,,,,,,,
726,,,,,,,,,,,
727,,,,,,,,,,,
728,,,,,,,,,,,
729,,,,,,,,,,,
730,,,,,,,,,,,
731,,,,,,,,,,,
732,,,,,,,,,,,
733,,,,,,,,,,,
734,,,,,,,,,,,
735,,,,,,,,,,,
736,,,,,,,,,,,
737,,,,,,,,,,,
738,,,,,,,,,,,
739,,,,,,,,,,,
740,,,,,,,,,,,
741,,,,,,,,,,,
742,,,,,,,,,,,
743,148.0,,,,,,,,,,
744,397.0,,,,,,,,,,
745,543.0,,,,,,,,,,
746,513.0,,,,,,,,,,
747,460.0,,,,,,,,,,
748,589.0,,,,,,,,,,
749,664.0,,,,,,,,,,
750,648.0,,,,,,,,,,
751,640.0,,,,,,,,,,
752,709.0,,,,,,,,,,
753,964.0,,,,,,,,,,
754,555.0,,,,,,,,,,
755,425.0,,,,,,,,,,
756,520.0,,,,,,,,,,
757,669.0,,,,,,,,,,
758,771.0,,,,,,,,,,
759,908.0,,,,,,,,,,
760,977.0,,,,,,,,,,
761,1008.0,,,,,,,,,,
762,535.0,,,,,,,,,,
763,428.0,,,,,,,,,,
764,542.0,,,,,,,,,,
765,490.0,,,,,,,,,,
766,471.0,,,,,,,,,,
767,531.0,,,,,,,,,,
768,350.0,,,,,,,,,,
769,315.0,,,,,,,,,,
770,,,,,,,,,,,
771,,346.3073425292969,223.4093475341797,270.46527099609375,300.29150390625,324.9674987792969,346.3073425292969,371.07135009765625,401.43951416015625,447.18487548828125,530.2289428710938
772,,344.7801818847656,208.4521942138672,259.2763366699219,292.358154296875,319.5249328613281,344.7801818847656,372.8588562011719,407.4562072753906,461.0564270019531,561.5874633789062
773,,353.1838073730469,252.85064697265625,292.39849853515625,317.81475830078125,337.5801696777344,353.1838073730469,369.9886779785156,388.6598205566406,418.0072326660156,474.072265625
774,,341.9232177734375,224.168212890625,266.78857421875,296.1010437011719,320.1809387207031,341.9232177734375,364.7055969238281,390.4019470214844,430.0772705078125,503.759033203125
775,,329.01788330078125,196.75244140625,241.72813415527344,274.53302001953125,303.06243896484375,329.01788330078125,355.8043212890625,385.99554443359375,432.2120056152344,517.5448608398438
776,,313.5263977050781,169.9820098876953,221.10203552246094,256.73590087890625,286.4400939941406,313.5263977050781,341.8717041015625,376.2369689941406,429.3931884765625,526.064697265625
777,,304.9269714355469,156.00958251953125,206.12741088867188,242.04873657226562,273.9400939941406,304.9269714355469,337.87335205078125,375.7226257324219,432.6165771484375,535.2589721679688
778,,299.9642333984375,140.18968200683594,196.14016723632812,235.03237915039062,268.5306396484375,299.9642333984375,333.9422607421875,376.60333251953125,443.48797607421875,561.5819702148438
779,,299.3843078613281,131.84823608398438,189.24435424804688,230.993408203125,265.8065185546875,299.3843078613281,337.28253173828125,384.3853454589844,456.8329162597656,585.8787841796875
780,,301.76226806640625,130.9740753173828,186.75433349609375,228.24969482421875,265.1797790527344,301.76226806640625,343.0040283203125,394.2218017578125,472.76458740234375,620.53125
781,,300.0677490234375,125.7550048828125,185.54183959960938,227.80160522460938,263.8619384765625,300.0677490234375,341.8354797363281,393.6057434082031,472.76788330078125,621.4393310546875
782,,302.0029296875,121.31303405761719,181.41470336914062,225.44509887695312,264.66900634765625,302.0029296875,343.3539733886719,395.5315246582031,478.20953369140625,636.9281005859375
783,,293.58306884765625,123.09014892578125,182.129150390625,223.82032775878906,258.74896240234375,293.58306884765625,333.4339294433594,382.8947448730469,461.6653137207031,621.342529296875
784,,294.6211853027344,118.61318969726562,176.7987060546875,219.4718017578125,257.03228759765625,294.6211853027344,336.591796875,387.005859375,466.793701171875,632.2132568359375
785,,296.1271057128906,119.77903747558594,177.30007934570312,219.31932067871094,257.3108215332031,296.1271057128906,340.8298034667969,394.5141296386719,476.5770263671875,644.6771240234375
